1---“八一”六十载---亲 
2---“七一”直抵花城---库 
3---“十三大”，改革之会，团结之会---奉 
4---“十一”双方皆怀念---喜 
5---“文昭关”选段---音 
6---“五一”厂里放影片---彦 
7---“五一”前夕何宽松---衙 
8---“西出阳关无故人”---笙 
9---“小”字加一撇，不作“少”字猜---赤 
10---《人生》上下集---佧 
11---20-2---槎 
12---３＋８---秸 
13---７８．３---柒 
14---阿里山小吃---饴 
15---爱将余热献光明---熹 
16---爱心几度付流水---沉 
17---爱心寄与笔底情---写 
18---爱友别离又相聚---受 
19---安敢裙钗换男装---宁 
20---安危抛脑后---脆 
21---安下心来读书---今 
22---安心度日---宴 
23---安心平凡工作---恐 
24---安心只为翻了身---总 
25---安阳风光---京 
26---安阳会子---鼹 
27---安阳即景---京 
28---俺大人不在---电 
29---岸---滂 
30---八尺龙头---咫 
31---八尺龙须---荨 
32---八达岭---兵 
33---八方归心---总 
34---八方援助受灾人---熔 
35---八方支援前线---织 
36---八哥---兑 
37---八哥的传说---言 
38---八哥偏心---悦 
39---八哥守门---阅 
40---八哥学舌---说 
41---八卦山之春---根 
42---八角楼旁水相连---淞 
43---八戒大怒---氦 
44---八戒行者随长老---狮 
45---八九不离十---杂 
46---八九不离十---杂 
47---八九点钟的太阳---晨 
48---八君子---羌 
49---八骏随天子---玛 
50---八连战士---丘 
51---八千里峰峦横隔，三十年心系故乡---秉 憧 
52---八千子弟兵---翠 
53---八千子弟兵---翠 
54---八声甘州---箫 
55---八十八---米 
56---八兄弟同赏月　　 ---脱 
109---半堆成品　　 ---哉 
110---半耕半读　　 ---讲 
111---半钩明月钓清溪　　 ---心 
112---半价出售　　 ---催 
113---半江帆影波底月　　 ---恐 
114---半角荷池人独立，还将分泪哭残花　　 ---莅 
115---半帘春色系中原　　 ---棉 
116---半帘灯焰暗　　 ---宁 
117---半林黄叶露秋色　　 ---楮 
118---半路出家　　 ---阁 
119---半绿草色半蓝天　　 ---蕴 
120---半青半黄半 收成　　 ---散 
121---半是毁誉半奉承　　 ---举 
122---半是毁誉半奉承　　 ---恪 
123---半是苦涩半是腥　　 ---湖 
124---半疏绿竹西归见　　 ---缆 
125---半仙站野外　　 ---僮 
126---半写江村对愁眉　　 ---深 
127---半掩村桥半拂溪　　 ---淋 
128---半遮香扇下东楼　　 ---榻 
129---浜　　 ---淬 
130---包公案上下集　　 ---构 
131---包龙图上场　　 ---黜 
132---包头残花落叶末　　 ---苟 
133---宝岛姑娘　　 ---始 
134---宝盖头　　 ---实 
135---宝玉出走，云香私奔　　 ---宣 
136---杯中蛇影　　 ---弛 
137---北定中原人归一统　　 ---宿 
138---北斗半隐现，日月背不明　　 ---脂 
139---北斗挂城边　　 ---戥 
140---北斗阑干映千帆　　 ---悉 
141---北国之春　　 ---槊 
142---北市买长鞭　　 ---广 
143---北宋亡泪两行　　 ---湘 
144---本厂定点生产木偶　　 ---麻 
145---匕首文章　　 ---刘 
146---必　　 ---忍 
147---必定环环不落空　　 ---瑟 
148---必由之路路必行　　 ---迪 
149---毕业之后　　 ---土 
150---毕业之后到浦东　　 ---埔 
151---毕业之后到上海　　 ---坤 
152---边草无穷日暮　　 ---大 
153---边城同心念归人　　 ---塔 
154---边防战士的职责　　 ---堡 
155---边行边拾　　 ---趣 
156---边整边改　　 ---政 
157---编　　 ---笨 
158---变化　　 ---仑 
159---变项　　 ---贡 
160---表里如一　　 ---田 
161---冰　　 ---涸 
162---并非如此　　 ---丰 
163---病从口入　　 ---痴 
164---波及厂内外　　 ---疲 
165---捕鱼为业　　 ---衡 
166---不到黄昏梦未成　　 ---林 
167---不得到辽西　　 ---还 
168---不负前言　　 ---证 
169---不改初衷　　 ---愿 
170---不干了　　 ---摆 
171---不公不私　　 ---么 
172---不顾白头要进取　　 ---最 
173---不顾白头要进取　　 ---最 
174---不过十年　　 ---蚴 
175---不计个人得失　　 ---佚 
176---不记个人得失　　 ---佚 
177---不见有孤舟　　 ---舰 
178---不拘一格　　 ---呸 
179---不留一手却不容易　　 ---摊 
180---不留一手却不容易　　 ---摊 
181---不落的太阳　　 ---昶 
182---不能细也　　 ---奇 
183---不胜惶恐　　 ---懒 
184---不受尘埃半点侵　　 ---社 
185---不闻不问　　 ---踯 
186---不咸不淡　　 ---哈 
187---不言而喻　　 ---皆 
188---不要开口闭口总是钱　　 ---钜 
189---不夜天　　 ---昶 
190---不翼而飞　　 ---丁 
191---不重生男重生女　　 ---呵 
192---不准抽烟　　 ---趿 
193---布下星星火　　 ---人 
194---步调一致　　 ---跻 
195---步卒五千　　 ---筛 
196---部位相反　　 ---陪 
197---猜着一半　　 ---睛 
198---才始送春归　　 ---材 
199---才下眉头，却上心头　　 ---自 
200---残兵　　 ---乒 
201---残茶剩饭　　 ---板 
202---残花落叶　　 ---哗 
203---残花片片落空庭　　 ---庇 
204---残花片片如飞雪　　 ---皆 
205---残花一片有余香　　 ---旨 
206---残阳如血　　 ---郝 
207---残叶翻飞落笔端　　 ---毡 
208---残月孤灯　　 ---炙 
209---残月挂樱桃　　 ---名 
210---残月照破衣　　 ---夜 
211---草上飞　　 ---早 
212---层峦叠翠　　 ---茁 
213---插话　　 ---谤 
214---拆了围墙　　 ---韦 
215---产后须补　　 ---颜 
216---产量上去了　　 ---厘 
217---产量最高　　 ---音 
218---产品实行三包　　 ---晶 
219---厂车一点到　　 ---库 
220---厂大一点人皆贺　　 ---庆 
221---厂方负责　　 ---碛 
222---厂方实行责任制　　 ---炮 
223---厂方专有　　 ---砖 
224---厂房摄影　　 ---厢 
225---厂靠翻身业　　 ---严 
226---厂里厂外老树连荫　　 ---橱 
227---厂里承包先抓点　　 ---庖 
228---厂里承包先抓点　　 ---庖 
229---厂里方便让别人　　 ---硬 
230---厂里搞点，乡下变样　　 ---缠 
231---厂里来了南方友人　　 ---硼 
232---厂里来人　　 ---仄 
233---厂里没借人　　 ---厝 
234---厂里求知点滴增　　 ---痴 
235---厂里相思，村中幽会　　 ---橱 
236---厂里增加出口　　 ---呖 
237---厂名变动　　 ---矽 
238---厂前流水厂后山　　 ---疝 
239---厂前种点草，厂里要植林　　 ---麻 
240---厂设宁波曲水间　　 ---痛 
241---厂要出头，必须双增双节　　 ---崖 
242---厂要出头全凭干　　 ---岸 
243---厂要上去须努力　　 ---历 
244---厂长点子好，建厂自有方　　 ---矿 
245---厂长点子好，建厂自有方　　 ---矿 
246---厂字挂心里　　 ---捱 
247---朝觐　　 ---现 
248---车八进一　　 ---轨 
249---车旁站着喜旺嫂　　 ---辍 
250---车座前头已换人　　 ---输 
251---扯皮当制止　　 ---披 
252---尘埃小半上瑶台　　 ---珐 
253---尘土不沾水月圆　　 ---消 
254---尘土飞扬　　 ---小 
255---尘土飞扬　　 ---小 
256---沉默不语　　 ---哈 
257---晨浴　　 ---渣 
258---成本一定要下降　　 ---未 
259---成方圆　　 ---员 
260---成功地有方须盖草　　 ---十 
261---诚　　 ---慎 
262---吃尽苦头　　 ---古 
263---吃苦在前　　 ---若 
264---吃苦在前心犹安　　 ---惹 
265---吃了面包就不饿　　 ---饱 
266---吃在农村　　 ---飨 
267---痴　　 ---保 
268---池边桃花招蝶舞　　 ---滦 
269---池边田头雁阵落　　 ---淄 
270---池边叶影动寒蟾　　 ---湖 
271---池边月上柳梢头　　 ---潸 
272---池边枝头显春色　　 ---淋 
273---池边枝头引蝶来　　 ---滦 
274---池头定有右军来　　 ---浑 
275---赤子之心　　 ---一 
276---赤字　　 ---钦 
277---冲出包围圈　　 ---韦 
278---充耳不闻　　 ---龙 
279---丑　　 ---牮 
280---丑而壮　　 ---犟 
281---出兵前后巧安排　　 ---岳 
282---出差整半年　　 ---胶 
283---出厂有风紧着衣　　 ---褫 
284---出港之前　　 ---汕 
285---出工出力出全勤　　 ---革 
286---出闺房巧遇一千金　　 ---娃 
287---出尽风头犯错误　　 ---爻 
288---出口服装　　 ---哀 
289---出口合同变动　　 ---咽 
290---出口千言　　 ---话 
291---出口丝绳　　 ---电 
292---出口纵横皆成章　　 ---故 
293---出力就高兴　　 ---嘉 
294---出门就打　　 ---阀 
295---出门唯闻犬吠声　　 ---润 
296---出门闻关关，唯觉声孤单　　 ---联 
297---出勤不出力，只说不兑现　　 ---谨 
298---出师之前重安排　　 ---岿 
299---出头更虚心　　 ---吏 
300---出一半有何不可　　 ---仙 
301---除夕来日蛤逢春　　 ---麦 
302---除夕迎来一九九五　　 ---萝 
303---雏　　 ---鹦 
304---楚兵　　 ---翠 
305---处处草香暮春时　　 ---日 
306---处处都有好姑娘　　 ---女 
307---处方唯有半纸传　　 ---绺 
308---川里茶花发　　 ---葩 
309---川流不息　　 ---泳 
310---川流入海潮已平　　 ---洲 
311---川水纵横日落时　　 ---酬 
312---川为静春波　　 ---淀 
313---川中飞雁过横山　　 ---肃 
314---窗前月朦胧　　 ---穹 
315---创业开始在此日　　 ---晋 
316---创业始开头　　 ---亚 
317---炊事员　　 ---饲 
318---垂泪到天明　　 ---漳 
319---垂泪对宫娥　　 ---汝 
320---春风吹又生　　 ---薪 
321---春风送马蹄　　 ---杰 
322---春光点点值千金　　 ---娄 
323---春光无日晃思夫　　 ---一 
324---春节放假三天　　 ---人 
325---春来鸟雀恋行云　　 ---谜 
326---春秋配　　 ---柏 
327---春秋配　　 ---秦 
328---春秋战国后　　 ---臻 
329---春天一日游　　 ---奏 
330---春燕檐前穿户来　　 ---鹇 
331---春雨连绵妻独宿　　 ---一 
332---春雨绵绵人去也　　 ---三 
333---春雨如油　　 ---溃 
334---春雨润新苗　　 ---秦 
335---唇齿相依　　 ---呀 
336---此案可排除女性　　 ---宋 
337---此策为离间，何其不胜来　　 ---籁 
338---此地一为偶　　 ---些 
339---此二人格外大方　　 ---徊 
340---此恨绵绵无绝期　　 ---跌 
341---此路不通　　 ---趾 
342---此谜必须隐目格　　 ---二 
343---此谜猜它三十天　　 ---捐 
344---此谜要猜两天一早上　　 ---亘 
345---此木本来一花无　　 ---林 
346---此犬不大却能吠　　 ---注 
347---此人可靠　　 ---何 
348---此人缺乏动力　　 ---会 
349---此人生在少林　　 ---侍 
350---此日登临曙色开　　 ---一 
351---此日巧遇意中人　　 ---倡 
352---此日相逢两倾心　　 ---昆 
353---此日中流自在行　　 ---咱 
354---此生谁吐言　　 ---雌 
355---此心到处悠然　　 ---攸 
356---此心唯有断云知　　 ---怡 
357---此语竟非是　　 ---汗 
358---此中意无人会　　 ---昙 
359---次子　　 ---元 
360---匆匆人去也　　 ---羽 
361---从此后南北一方　　 ---囵 
362---从来绝色知难得　　 ---纵 
363---从来绝色知难得　　 ---纵 
364---从南昌到北京　　 ---景 
365---从上至下 广为团结　　 ---座 
366---从上至下，广为团结　　 ---座 
367---从新布署　　 ---睹 
368---翠竹竞茂　　 ---静 
369---村后墓碑前，少陵泪涟涟　　 ---礴 
370---村中安身　　 ---榭 
371---存心有意见　　 ---音 
372---寸草沐春晖　　 ---莳 
373---寸草沐春晕　　 ---莳 
374---寸草心　　 ---时 
375---寸土不丢保村庄　　 ---床 
376---寸土相连永不离　　 ---封 
377---错过机会　　 ---枫 
378---达开回广西　　 ---矿 
379---打得分明　　 ---晴 
380---打断念头　　 ---心 
381---打虎英雄到江西　　 ---淞 
382---打破常规　　 ---觉 
383---打破固有框框　　 ---十 
384---打破禁锢突破框框　　 ---针 
385---打起黄莺儿　　 ---躁 
386---打起黄莺儿　　 ---蹄 
387---打起黄莺儿　　 ---蹄 
388---打手出界　　 ---丁 
389---打樱桃　　 ---呈 
390---大白于天下　　 ---昌 
391---大部分接受　　 ---爱 
392---大材小用，小材小用，废材不用　　 ---秦 
393---大厂用电多一点　　 ---庵 
394---大厂用电多一点　　 ---庵 
395---大处着手，巧构双杀　　 ---攀 
396---大错特错　　 ---爽 
397---大大方方　　 ---咽 
398---大胆显丑　　 ---腥 
399---大得出奇　　 ---可 
400---大地回春　　 ---桩 
401---大地沐清辉　　 ---脏 
402---大地同春　　 ---杜 
403---大地一片白　　 ---奢 
404---大斗进，小斗出　　 ---尖 
405---大方格　　 ---咽 
406---大概念　　 ---药 
407---大干变了样　　 ---全 
408---大庚岭上暮天低　　 ---岁 
409---大褂不要补　　 ---奎 
410---大旱望云霓　　 ---濡 
411---大河奔流　　 ---奇 
412---大河奔流带残红　　 ---绮 
413---大河奔流近千里　　 ---骑 
414---大河奔流向东来　　 ---椅 
415---大河奔流雁飞斜　　 ---倚 
416---大河边一轮新月　　 ---活 
417---大河没水小河干　　 ---哥 
418---大河没水小河干　　 ---哥 
419---大河上下，顿失滔滔　　 ---奇 
420---大河迂曲，群山环抱　　 ---甾 
421---大加赞誉　　 ---亏 
422---大家搞好团结　　 ---庐 
423---大家长寿　　 ---筹 
424---大家长寿　　 ---筹 
425---大江东去，残阳如血　　 ---温 
426---大江东去一帆扬　　 ---浊 
427---大口多一点　　 ---吠 
428---大框框不能破　　 ---因 
429---大框框不能破　　 ---因 
430---大力能容天下　　 ---因 
431---大连天全　　 ---一 
432---大乱之后要平反　　 ---金 
433---大米转向出口　　 ---奥 
434---大面积推广　　 ---靥 
435---大明生于东　　 ---杲 
436---大明生于东　　 ---株 
437---大闹加小框，不作“回”字猜　　 ---固 
438---大内格外要留心　　 ---恩 
439---大篷车到边防　　 ---郓 
440---大庆油田庆油出　　 ---奋 
441---大人挑小人　　 ---夹 
442---大人走来了　　 ---子 
443---大赦天下　　 ---一 
444---大势已定，无须固执　　 ---夯 
445---大树临波　　 ---渠 
446---大田高禀庆丰年　　 ---移 
447---大同石窟旅游点　　 ---突 
448---大王偏爱玉无瑕　　 ---琥 
449---大王声威震四方　　 ---噩 
450---大西北一日　　 ---春 
451---大小交错　　 ---灯 
452---大小交错　　 ---灯 
453---大小两分开　　 ---奈 
454---大雪压青松　　 ---柏 
455---大压不正之风　　 ---奁 
456---大压不正之风　　 ---奁 
457---大业靠人创　　 ---亚 
458---大有干头　　 ---天 
459---大有可为　　 ---奇 
460---大于---小于---等于　　 ---互 
461---大丈夫不得出头　　 ---天 
462---大丈夫力不从心　　 ---思 
463---大针上面顶小针　　 ---钎 
464---丹心一点到白头　　 ---舟 
465---丹心一点血凝成　　 ---盘 
466---丹心一直图为国　　 ---匡 
467---旦末净丑　　 ---星 
468---当代巾帼　　 ---妗 
469---当合格工人　　 ---吴 
470---当空皓魄映川流　　 ---淝 
471---当前不在一起　　 ---米 
472---当前皇上垂危中　　 ---原 
473---当前唯有江边月　　 ---消 
474---当前一定要安定团结　　 ---案 
475---当上运动员　　 ---唢 
476---当天处方　　 ---晷 
477---当头明月满行舟　　 ---逍 
478---当头明月照前程　　 ---稍 
479---当头月照远帆归　　 ---蛸 
480---当阳道　　 ---昙 
481---党内交人要交心　　 ---谷 
482---党中央与人民一条心　　 ---恩 
483---刀光剑影连千里　　 ---验 
484---刀光剑影林边隐　　 ---检 
485---刀光剑影入篁林　　 ---签 
486---刀下留情　　 ---忍 
487---刀下要留心一点　　 ---忍 
488---岛　　 ---泵 
489---倒数第一　　 ---由 
490---到西郊植树　　 ---校 
491---稻　　 ---类 
492---得人心者得天下　　 ---怂 
493---得胜生还，安排宴会　　 ---明 
494---灯昏酒泼人半醉　　 ---酊 
495---灯笼　　 ---炮 
496---登陆　　 ---漓 
497---瞪着眼睛瞧，个个都 不少　　 ---目 
498---地表　　 ---坡 
499---地震前后变了样　　 ---垄 
500---帝　　 ---全 
501---点滴积累可成金　　 ---全 
502---点滴之变成作为　　 ---办 
503---点点卯　　 ---卵 
504---点点新芽发枝头　　 ---米 
505---点点萤火照江边　　 ---淡 
506---点心　　 ---口 
507---点心能手招进厂　　 ---拓 
508---电大办在河西畔　　 ---淹 
509---电杆高竖在山巅　　 ---击 
510---电视终日看不见　　 ---礼 
511---垫上运动　　 ---土 
512---叠罗汉　　 ---众 
513---丁原兀立，吕布拜倒　　 ---呵 
514---丁字帘前是断桥　　 ---柠 
515---顶牛　　 ---斛 
516---定心丸　　 ---卞 
517---丢开个人得失　　 ---佚 
518---丢人现眼　　 ---火 
519---东北风来冷先围　　 ---飞 
520---东边日出西边雨　　 ---汨 
521---东边日出西边雨　　 ---汨 
522---东部支援西部　　 ---陪 
523---东床只独看　　 ---胥 
524---东方表　　 ---柏 
525---东方方才现双星　　 ---柬 
526---东方红　　 ---株 
527---东方露出鱼肚白　　 ---课 
528---东方曙色上枝头　　 ---楂 
529---东方一男儿　　 ---柯 
530---东风频添相思意　　 ---彭 
531---东风指杨柳，月下正相思　　 ---膨 
532---东海沉落天亦倾　　 ---活 
533---东湖双鸳鸯　　 ---鹏 
534---东家流水入西邻　　 ---沪 
535---东郊田头出孤苗　　 ---邮 
536---东京旦暮伴郎君　　 ---春 
537---东京一游正值十一　　 ---琼 
538---东靠大西洋　　 ---渠 
539---东邻可有佳人在　　 ---婀 
540---东邻墙头梨花开　　 ---都 
541---东林虎影　　 ---枫 
542---东流逝水　　 ---梳 
543---东楼少女天下绝　　 ---来 
544---东南方双方合作　　 ---燥 
545---东南西北锁雾中　　 ---备 
546---东南西北一般春　　 ---楞 
547---东南西北一般春　　 ---楞 
548---东南邹鲁　　 ---阳 
549---东内缕缕添相思　　 ---彭 
550---东施　　 ---妞 
551---东西南北不出头　　 ---楞 
552---东西南北一条心　　 ---愣 
553---东西调防　　 ---邡 
554---东洋兵　　 ---晖 
555---东洋参　　 ---晶 
556---东征西讨　　 ---证 
557---冬至一阳生　　 ---汨 
558---动画剪接　　 ---男 
559---动力增长十点二　　 ---协 
560---动员后勤上前方　　 ---贺 
561---动员起来，团结起来　　 ---赔 
562---都不出头　　 ---楷 
563---都匀　　 ---筠 
564---斗柄回寅几处心　　 ---滤 
565---斗蟋蟀　　 ---触 
566---斗转星移又一载　　 ---平 
567---独户　　 ---阐 
568---独眼龙　　 ---省 
569---端午前后　　 ---辛 
570---短一些再短一些　　 ---此 
571---断断续续　　 ---继 
572---断桥垂露滴梧桐　　 ---淋 
573---断指再接成功　　 ---掷 
574---对边三点偏离圆心　　 ---赔 
575---对艰难皆有先见　　 ---又 
576---对内改革要上去　　 ---婴 
577---对人要虚心　　 ---伦 
578---对手得分　　 ---掰 
579---对照看来有点左　　 ---式 
580---顿号　　 ---踢 
581---多半靠进口　　 ---名 
582---多半用三十六计　　 ---梦 
583---多出一半　　 ---岁 
584---多方合作　　 ---哆 
585---多美的桃花　　 ---骊 
586---多少白土被花盖　　 ---著 
587---多少年后再相逢　　 ---舛 
588---多少心血得一言　　 ---谧 
589---多少心血得一言　　 ---谧 
590---多谈实际　　 ---课 
591---多听必有惑　　 ---总 
592---多写一笔才象样　　 ---栏 
593---多一点点有意见　　 ---竞 
594---多一点就好　　 ---艮 
595---娥皇　　 ---娆 
596---饿　　 ---饮 
597---儿的心只在四化上　　 ---悦 
598---儿女共沾巾　　 ---姚 
599---儿女忽成行　　 ---哥 
600---儿女相逢泪两行　　 ---姚 
601---儿孙各一半　　 ---吼 
602---儿童不宜　　 ---倚 
603---儿童不宜　　 ---旖 
604---儿童急走追黄蝶　　 ---李 
605---儿童节　　 ---产 
606---儿童节　　 ---音 
607---儿童节前夕　　 ---产 
608---儿童节在上旬　　 ---章 
609---儿童来鼠　　 ---亥 
610---儿童西服　　 ---肖 
611---儿童一一入了队　　 ---除 
612---儿为四化集资金　　 ---锐 
613---儿须把四化挂在心　　 ---悦 
614---儿要跟党走　　 ---趟 
615---儿在云南前线　　 ---统 
616---而立之年当运动员　　 ---喷 
617---尔曹无日一虚抛　　 ---曲 
618---耳塞半导体　　 ---附 
619---二　　 ---息 
620---二八佳人　　 ---妙 
621---二百两　　 ---芹 
622---二百天　　 ---荀 
623---二尺二　　 ---封 
624---二川溶溶　　 ---州 
625---二川中分　　 ---蠲 
626---二次交战　　 ---戏 
627---二大王心如刀绞　　 ---瑟 
628---二度梅　　 ---叙 
629---二度梅　　 ---馥 
630---二度学医　　 ---谬 
631---二度重阳连夜归　　 ---梦 
632---二儿远离摇手别　　 ---遥 
633---二分尘土　　 ---示 
634---二分明月正当头　　 ---旺 
635---二更尽　　 ---史 
636---二狗谈天　　 ---狱 
637---二话不说　　 ---证 
638---二黄　　 ---圭 
639---二季度进厂　　 ---厦 
640---二斤水　　 ---满 
641---二九青春　　 ---森 
642---二口子结合　　 ---酉 
643---二口子相会去西湖　　 ---醐 
644---二口子相会正黄昏　　 ---酉 
645---二口子有个独生子　　 ---呵 
646---二连，安阳，长春　　 ---大 
647---二两人参　　 ---奏 
648---二龙分守，一隐一现　　 ---宠辱 
649---二龙消逝画楼东　　 ---桂 
650---二楼四间一幢房，各有小窗却无墙　　 ---噩 
651---二毛　　 ---芬 
652---二女相对泣　　 ---器 
653---二泉映月　　 ---沁 
654---二人不拆开　　 ---奈 
655---二人传　　 ---徊 
656---二人顶三人　　 ---奏 
657---二人顶三人　　 ---奏 
658---二人顶三人，事情就办成　　 ---奏 
659---二人分庭坐江东　　 ---巫 
660---二人赴前线　　 ---纵 
661---二人合作，干劲冲天　　 ---夫 
662---二人横目志难合　　 ---德 
663---二人横目志难合　　 ---德 
664---二人结同心　　 ---怂 
665---二人庙旁立　　 ---待 
666---二人同行，后不见店，前不见村　　 ---俯 
667---二人同行去投师　　 ---徒 
668---二人同心　　 ---怂 
669---二人小组　　 ---余 
670---二人一同到少林　　 ---待 
671---二人正直我相交　　 ---徐 
672---二人转　　 ---仁 
673---二人走钢丝　　 ---丛 
674---二山倒映雪初融　　 ---帚 
675---二山相叠　　 ---岳 
676---二山相叠，隐入云层　　 ---屈 
677---二山之上架小桥　　 ---崇 
678---二十出人头，胆识过人　　 ---膜 
679---二十方出头，坎坷在眼前　　 ---曲 
680---二十年后方相聚　　 ---苦 
681---二十年后再相会　　 ---卉 
682---二十七两半输去　　 ---堑 
683---二十七人　　 ---花 
684---二十日吃不进口　　 ---乾 
685---二十四桥明月落，孤帆一片日边来　　 ---螟 
686---二十四桥一女郎　　 ---甍 
687---二十四小时　　 ---旧 
688---二十一家同入蜀　　 ---靶 
689---二十一人小一点　　 ---恭 
690---二十载河东　　 ---苛 
691---二竖子　　 ---元 
692---二水交流，一川横渡　　 ---洋 
693---二水中分白鹭州　　 ---川 
694---二水纵横，四方汇合　　 ---淄 
695---二胎杜绝后　　 ---朋 
696---二万　　 ---芊 
697---二五耦　　 ---苹 
698---二五耦　　 ---舍 
699---二五人家水月中　　 ---湖 
700---二小队集合　　 ---除 
701---二小姐　　 ---姿 
702---二心集　　 ---炎 
703---二心集　　 ---惺 
704---二一二五　　 ---苹 
705---二一添作五　　 ---力 
706---二一添作五　　 ---积 
707---二一添作五　　 ---力 
708---二月春风草初长　　 ---蒯 
709---二月卖新丝　　 ---绷 
710---二月鸟来全　　 ---鹏 
711---二月平　　 ---朋 
712---二月青犹短　　 ---十 
713---二月轻舟逐水流　　 ---恕 
714---二中全会　　 ---串 
715---二足并拢，以示服从　　 ---是 
716---发生大火划禁区　　 ---烟 
717---发言结束　　 ---皖 
718---帆影归来带散香　　 ---棉 
719---翻开日记写人生　　 ---借 
720---凡心合随江水逝　　 ---恐 
721---凡心难解红丝断　　 ---恐 
722---反串花旦，不须化装　　 ---昔 
723---方离故国心低沉　　 ---惑 
724---芳草凋零　　 ---方 
725---芳草离离生塘边　　 ---坊 
726---防洪公约　　 ---测 
727---房后竹篱月影残　　 ---翩 
728---仿佛西湖半壁红　　 ---江 
729---仿佛一峰船外影　　 ---舢 
730---放眼唯有一孤舟　　 ---舰 
731---放之于山下　　 ---退 
732---飞蛾扑火　　 ---我 
733---飞凫从西来　　 ---习 
734---飞凫昨日行　　 ---舴 
735---飞鸿阵阵过横江　　 ---丝 
736---飞将军得子　　 ---床 
737---飞龙安可乘　　 ---驳 
738---飞泉垂流　　 ---浴 
739---飞泉挂碧峰　　 ---汕 
740---飞泉西注　　 ---浴 
741---飞入寻常百姓家　　 ---扇 
742---飞舞蝴蝶戏蕊间　　 ---恋 
743---飞舞蝴蝶逐春水　　 ---滦 
744---飞雪迎春到　　 ---柏 
745---飞燕双双向灵台　　 ---怂 
746---扉　　 ---顽 
747---肥胖症　　 ---瘸 
748---分工负责，肯定成绩　　 ---红 
749---分离之日　　 ---钨 
750---分明有大小，不应划等号　　 ---奈 
751---分明有大小，怎能画等号　　 ---奈 
752---分明月色若镰钩　　 ---旬 
753---分田分到王家坳　　 ---噩 
754---分田分到王家湾　　 ---噩 
755---分子比大小　　 ---丞 
